,state,term,outcome,croscor,lagd
346,Alaska,vaccine near me,daily_vaccinations_per_million,-0.0804905,-14
347,Alaska,vaccine near me,daily_vaccinations_per_million,-0.106390042,-13
348,Alaska,vaccine near me,daily_vaccinations_per_million,-0.157301859,-12
349,Alaska,vaccine near me,daily_vaccinations_per_million,0.033982706,-11
350,Alaska,vaccine near me,daily_vaccinations_per_million,-0.016713786,-10
351,Alaska,vaccine near me,daily_vaccinations_per_million,-0.040513356,-9
352,Alaska,vaccine near me,daily_vaccinations_per_million,0.185147567,-8
353,Alaska,vaccine near me,daily_vaccinations_per_million,-0.049369087,-7
354,Alaska,vaccine near me,daily_vaccinations_per_million,-0.057691786,-6
355,Alaska,vaccine near me,daily_vaccinations_per_million,0.057425248,-5
356,Alaska,vaccine near me,daily_vaccinations_per_million,-0.112981075,-4
357,Alaska,vaccine near me,daily_vaccinations_per_million,0.066086517,-3
358,Alaska,vaccine near me,daily_vaccinations_per_million,0.050348453,-2
359,Alaska,vaccine near me,daily_vaccinations_per_million,0.017631195,-1
360,Alaska,vaccine near me,daily_vaccinations_per_million,0.097945614,0
361,Arizona,covid,daily_vaccinations,0.002297546,-14
362,Arizona,covid,daily_vaccinations,-0.045534619,-13
363,Arizona,covid,daily_vaccinations,-0.099245649,-12
364,Arizona,covid,daily_vaccinations,0.112071096,-11
365,Arizona,covid,daily_vaccinations,0.039659073,-10
366,Arizona,covid,daily_vaccinations,-0.030484855,-9
367,Arizona,covid,daily_vaccinations,-0.029504978,-8
368,Arizona,covid,daily_vaccinations,-0.037805447,-7
369,Arizona,covid,daily_vaccinations,-0.054226094,-6
370,Arizona,covid,daily_vaccinations,0.088813218,-5
371,Arizona,covid,daily_vaccinations,-0.055277779,-4
372,Arizona,covid,daily_vaccinations,0.079086981,-3
373,Arizona,covid,daily_vaccinations,0.066740247,-2
374,Arizona,covid,daily_vaccinations,0.088599037,-1
375,Arizona,covid,daily_vaccinations,0.043013049,0
376,Arizona,covid,daily_vaccinations_per_million,0.002198645,-14
377,Arizona,covid,daily_vaccinations_per_million,-0.045447491,-13
378,Arizona,covid,daily_vaccinations_per_million,-0.099251161,-12
379,Arizona,covid,daily_vaccinations_per_million,0.112164298,-11
380,Arizona,covid,daily_vaccinations_per_million,0.039535326,-10
381,Arizona,covid,daily_vaccinations_per_million,-0.030377972,-9
382,Arizona,covid,daily_vaccinations_per_million,-0.029520272,-8
383,Arizona,covid,daily_vaccinations_per_million,-0.037820678,-7
384,Arizona,covid,daily_vaccinations_per_million,-0.054265733,-6
385,Arizona,covid,daily_vaccinations_per_million,0.088947316,-5
386,Arizona,covid,daily_vaccinations_per_million,-0.05543968,-4
387,Arizona,covid,daily_vaccinations_per_million,0.079127199,-3
388,Arizona,covid,daily_vaccinations_per_million,0.066819031,-2
389,Arizona,covid,daily_vaccinations_per_million,0.088598365,-1
390,Arizona,covid,daily_vaccinations_per_million,0.042897168,0
391,Arizona,mask,daily_vaccinations,-0.046737272,-14
392,Arizona,mask,daily_vaccinations,-0.090036,-13
393,Arizona,mask,daily_vaccinations,0.0419381,-12
394,Arizona,mask,daily_vaccinations,-0.114460771,-11
395,Arizona,mask,daily_vaccinations,0.108059704,-10
396,Arizona,mask,daily_vaccinations,-0.001957481,-9
397,Arizona,mask,daily_vaccinations,0.04162704,-8
398,Arizona,mask,daily_vaccinations,-0.051613811,-7
399,Arizona,mask,daily_vaccinations,-0.011896149,-6
400,Arizona,mask,daily_vaccinations,0.002995883,-5
401,Arizona,mask,daily_vaccinations,0.107590082,-4
402,Arizona,mask,daily_vaccinations,-0.10276601,-3
403,Arizona,mask,daily_vaccinations,0.039591519,-2
404,Arizona,mask,daily_vaccinations,0.202535161,-1
405,Arizona,mask,daily_vaccinations,0.2132683,0
406,Arizona,mask,daily_vaccinations_per_million,-0.046921385,-14
